"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"3502 01520000","R-10","R - Single Family/Cabin","103  CHARLESTOWN HUNT DR","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01530000","R-10","R - Single Family/Cabin","101  CHARLESTOWN HUNT DR","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01540000","R-10","R - Single Family/Cabin","102  CHARLESTOWN HUNT DR","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01550000","R-10","R - Single Family/Cabin","104  CHARLESTOWN HUNT DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01560000","R-10","R - Single Family/Cabin","106  CHARLESTOWN HUNT DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01570000","R-10","R - Single Family/Cabin","108  CHARLESTOWN HUNT DR","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01580000","R-10","R - Single Family/Cabin","110  CHARLESTOWN HUNT DR","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01590000","R-10","R - Single Family/Cabin","112  CHARLESTOWN HUNT DR","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01600000","R-10","R - Single Family/Cabin","114  CHARLESTOWN HUNT DR","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01610000","R-10","R - Single Family/Cabin","116  CHARLESTOWN HUNT DR","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01620000","R-10","R - Single Family/Cabin","118  CHARLESTOWN HUNT DR","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01630000","R-10","R - Single Family/Cabin","102  LOUDOUN PL","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01640000","R-10","R - Single Family/Cabin","104  LOUDOUN PL","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01650000","R-10","R - Single Family/Cabin","106  LOUDOUN PL","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01660000","R-10","R - Single Family/Cabin","108  LOUDOUN PL","Charlestown",1997,"1991 or Later","1991-2000"
"3502 01670000","R-10","R - Single Family/Cabin","110  LOUDOUN PL","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01680000","R-10","R - Single Family/Cabin","113  LOUDOUN PL","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01690000","R-10","R - Single Family/Cabin","111  LOUDOUN PL","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01700000","R-10","R - Single Family/Cabin","109  LOUDOUN PL","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01710000","R-10","R - Single Family/Cabin","107  LOUDOUN PL","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01720000","R-10","R - Single Family/Cabin","105  LOUDOUN PL","Charlestown",1997,"1991 or Later","1991-2000"
"3502 01730000","R-10","R - Single Family/Cabin","103  LOUDOUN PL","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01740000","R-10","R - Single Family/Cabin","101  LOUDOUN PL","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01750000","R-10","R - Single Family/Cabin","124  CHARLESTOWN HUNT DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01760000","R-10","R - Single Family/Cabin","126  CHARLESTOWN HUNT DR","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01770000","R-10","R - Single Family/Cabin","128  CHARLESTOWN HUNT DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01780000","R-10","R - Single Family/Cabin","130  CHARLESTOWN HUNT DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01790000","R-10","R - Single Family/Cabin","132  CHARLESTOWN HUNT DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01800000","R-10","R - Single Family/Cabin","102  BATTLE CREEK WAY","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01810000","R-10","R - Single Family/Cabin","104  BATTLE CREEK WAY","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01820000","R-10","R - Single Family/Cabin","105  BATTLE CREEK WAY","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01830000","R-10","R - Single Family/Cabin","103  BATTLE CREEK WAY","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01840000","R-10","R - Single Family/Cabin","101  BATTLE CREEK WAY","Charlestown",1996,"1991 or Later","1991-2000"
"3502 01850000","R-10","R - Single Family/Cabin","136  CHARLESTOWN HUNT DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01860000","R-10","R - Single Family/Cabin","102  WINDY HOLLOW DR","Charlestown",1997,"1991 or Later","1991-2000"
"3502 01870000","R-10","R - Single Family/Cabin","104  WINDY HOLLOW DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01880000","R-10","R - Single Family/Cabin","106  WINDY HOLLOW DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01890000","R-10","R - Single Family/Cabin","108  WINDY HOLLOW DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01900000","R-10","R - Single Family/Cabin","110  WINDY HOLLOW DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01910000","R-10","R - Single Family/Cabin","112  WINDY HOLLOW DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01920000","R-10","R - Single Family/Cabin","114  WINDY HOLLOW DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01930000","R-10","R - Single Family/Cabin","116  WINDY HOLLOW DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01940000","R-10","R - Single Family/Cabin","118  WINDY HOLLOW DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01950000","R-10","R - Single Family/Cabin","119  WINDY HOLLOW DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01960000","R-10","R - Single Family/Cabin","117  WINDY HOLLOW DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01970000","R-10","R - Single Family/Cabin","115  WINDY HOLLOW DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01980000","R-10","R - Single Family/Cabin","113  WINDY HOLLOW DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 01990000","R-10","R - Single Family/Cabin","111  WINDY HOLLOW DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 02000000","R-10","R - Single Family/Cabin","104  TIPPERARY DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 02010000","R-10","R - Single Family/Cabin","106  TIPPERARY DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 02020000","R-10","R - Single Family/Cabin","108  TIPPERARY DR","Charlestown",1999,"1991 or Later","1991-2000"
"3502 02030000","R-10","R - Single Family/Cabin","109  TIPPERARY DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 02040000","R-10","R - Single Family/Cabin","107  TIPPERARY DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 02050000","R-10","R - Single Family/Cabin","105  TIPPERARY DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 02060000","R-10","R - Single Family/Cabin","103  TIPPERARY DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 02070000","R-10","R - Single Family/Cabin","101  TIPPERARY DR","Charlestown",1999,"1991 or Later","1991-2000"
"3502 02080000","R-10","R - Single Family/Cabin","107  WINDY HOLLOW DR","Charlestown",1998,"1991 or Later","1991-2000"
"3502 02090000","R-10","R - Single Family/Cabin","105  WINDY HOLLOW DR","Charlestown",1997,"1991 or Later","1991-2000"
"3502 02100000","R-10","R - Single Family/Cabin","104  BEAUFORT CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 02110000","R-10","R - Single Family/Cabin","106  BEAUFORT CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 02120000","R-10","R - Single Family/Cabin","107  BEAUFORT CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 02130000","R-10","R - Single Family/Cabin","105  BEAUFORT CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 02140000","R-10","R - Single Family/Cabin","103  BEAUFORT CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 02150000","R-10","R - Single Family/Cabin","103  WINDY HOLLOW DR","Charlestown",1999,"1991 or Later","1991-2000"
"3502 02160000","R-10","R - Single Family/Cabin","101  WINDY HOLLOW DR","Charlestown",1997,"1991 or Later","1991-2000"
"3502 02170000","R-10","R - Single Family/Cabin","140  CHARLESTOWN HUNT DR","Charlestown",1999,"1991 or Later","1991-2000"
"3502 02380000","R-50","R - Condominium","101  STEWARTS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 02390000","R-50","R - Condominium","103  STEWARTS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 02400000","R-50","R - Condominium","105  STEWARTS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 02410000","R-50","R - Condominium","107  STEWARTS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 02420000","R-50","R - Condominium","109  STEWARTS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 02430000","R-50","R - Condominium","111  STEWARTS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 02440000","R-50","R - Condominium","113  STEWARTS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 02450000","R-50","R - Condominium","115  STEWARTS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 02460000","R-50","R - Condominium","117  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02470000","R-50","R - Condominium","119  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02480000","R-50","R - Condominium","121  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02490000","R-50","R - Condominium","123  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02500000","R-50","R - Condominium","125  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02510000","R-50","R - Condominium","127  STEWARTS CRT","Charlestown",2006,"1991 or Later","2001-2010"
"3502 02520000","R-50","R - Condominium","129  STEWARTS CRT","Charlestown",1995,"1991 or Later","1991-2000"
"3502 02530000","R-50","R - Condominium","131  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02540000","R-50","R - Condominium","133  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02550000","R-50","R - Condominium","135  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02560000","R-50","R - Condominium","137  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02570000","R-50","R - Condominium","139  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02580000","R-50","R - Condominium","141  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02590000","R-50","R - Condominium","143  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02600000","R-50","R - Condominium","102  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02610000","R-50","R - Condominium","104  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02620000","R-50","R - Condominium","106  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02630000","R-50","R - Condominium","108  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02640000","R-50","R - Condominium","110  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02650000","R-50","R - Condominium","112  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02660000","R-50","R - Condominium","114  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02670000","R-50","R - Condominium","116  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02680000","R-50","R - Condominium","145  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02690000","R-50","R - Condominium","147  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02700000","R-50","R - Condominium","149  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02710000","R-50","R - Condominium","151  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02720000","R-50","R - Condominium","153  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02730000","R-50","R - Condominium","155  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02740000","R-50","R - Condominium","157  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02750000","R-50","R - Condominium","159  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02760000","R-50","R - Condominium","161  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02770000","R-50","R - Condominium","163  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02780000","R-50","R - Condominium","165  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02790000","R-50","R - Condominium","167  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02800000","R-50","R - Condominium","169  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02810000","R-50","R - Condominium","171  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02820000","R-50","R - Condominium","173  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02830000","R-50","R - Condominium","175  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02840000","R-50","R - Condominium","177  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02850000","R-50","R - Condominium","179  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02860000","R-50","R - Condominium","118  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02870000","R-50","R - Condominium","120  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02880000","R-50","R - Condominium","122  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02890000","R-50","R - Condominium","124  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02900000","R-50","R - Condominium","126  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02910000","R-50","R - Condominium","128  STEWARTS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02920000","R-50","R - Condominium","101  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 02930000","R-50","R - Condominium","103  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 02940000","R-50","R - Condominium","105  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 02950000","R-50","R - Condominium","107  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 02960000","R-50","R - Condominium","109  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 02970000","R-50","R - Condominium","111  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 02980000","R-50","R - Condominium","113  JEFFORDS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 02990000","R-50","R - Condominium","115  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03000000","R-50","R - Condominium","117  JEFFORDS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 03010000","R-50","R - Condominium","119  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03020000","R-50","R - Condominium","121  JEFFORDS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 03030000","R-50","R - Condominium","123  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03040000","R-50","R - Condominium","125  JEFFORDS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 03050000","R-50","R - Condominium","127  JEFFORDS CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 03060000","R-50","R - Condominium","129  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03070000","R-50","R - Condominium","131  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03080000","R-50","R - Condominium","133  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03090000","R-50","R - Condominium","135  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03100000","R-50","R - Condominium","137  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03110000","R-50","R - Condominium","139  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03120000","R-50","R - Condominium","156  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03130000","R-50","R - Condominium","154  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03140000","R-50","R - Condominium","152  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03150000","R-50","R - Condominium","150  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03160000","R-50","R - Condominium","148  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03170000","R-50","R - Condominium","146  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03180000","R-50","R - Condominium","144  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03190000","R-50","R - Condominium","142  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03200000","R-50","R - Condominium","140  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03210000","R-50","R - Condominium","138  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03220000","R-50","R - Condominium","136  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03230000","R-50","R - Condominium","134  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03240000","R-50","R - Condominium","1307  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03250000","R-50","R - Condominium","130  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03260000","R-50","R - Condominium","128  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03270000","R-50","R - Condominium","126  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03280000","R-50","R - Condominium","124  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03290000","R-50","R - Condominium","122  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03300000","R-50","R - Condominium","120  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03310000","R-50","R - Condominium","118  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03320000","R-50","R - Condominium","116  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03330000","R-50","R - Condominium","114  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03340000","R-50","R - Condominium","112  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03350000","R-50","R - Condominium","110  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03360000","R-50","R - Condominium","108  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03370000","R-50","R - Condominium","106  JEFFORDS CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03380000","R-50","R - Condominium","104  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03390000","R-50","R - Condominium","102  JEFFORDS CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03400000","R-50","R - Condominium","144  HUNTINGDON CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03410000","R-50","R - Condominium","142  HUNTINGDON CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03420000","R-50","R - Condominium","140  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03430000","R-50","R - Condominium","138  HUNTINGDON CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03440000","R-50","R - Condominium","136  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03450000","R-50","R - Condominium","134  HUNTINGDON CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03460000","R-50","R - Condominium","132  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03470000","R-50","R - Condominium","130  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03480000","R-50","R - Condominium","128  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03490000","R-50","R - Condominium","126  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03500000","R-50","R - Condominium","124  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03510000","R-50","R - Condominium","122  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03520000","R-50","R - Condominium","120  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03530000","R-50","R - Condominium","118  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03540000","R-50","R - Condominium","116  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03550000","R-50","R - Condominium","114  HUNTINGDON CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03560000","R-50","R - Condominium","112  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03570000","R-50","R - Condominium","110  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03580000","R-50","R - Condominium","108  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03590000","R-50","R - Condominium","106  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03600000","R-50","R - Condominium","104  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03610000","R-50","R - Condominium","102  HUNTINGDON CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03620000","R-50","R - Condominium","121  FAIRFAX CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03630000","R-50","R - Condominium","123  FAIRFAX CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03640000","R-50","R - Condominium","125  FAIRFAX CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03650000","R-50","R - Condominium","127  FAIRFAX CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03660000","R-50","R - Condominium","132  FAIRFAX CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03670000","R-50","R - Condominium","130  FAIRFAX CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03680000","R-50","R - Condominium","128  FAIRFAX CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03690000","R-50","R - Condominium","126  FAIRFAX CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03700000","R-50","R - Condominium","124  FAIRFAX CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03710000","R-50","R - Condominium","122  FAIRFAX CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03720000","R-50","R - Condominium","120  FAIRFAX CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03730000","R-50","R - Condominium","118  FAIRFAX CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03740000","R-50","R - Condominium","116  FAIRFAX CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03750000","R-50","R - Condominium","114  FAIRFAX CRT","Charlestown",1997,"1991 or Later","1991-2000"
"3502 03760000","R-50","R - Condominium","112  FAIRFAX CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 03770000","R-50","R - Condominium","110  FAIRFAX CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 03780000","R-50","R - Condominium","108  FAIRFAX CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 03790000","R-50","R - Condominium","106  FAIRFAX CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 03800000","R-50","R - Condominium","104  FAIRFAX CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 03810000","R-50","R - Condominium","102  FAIRFAX CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 03820000","R-50","R - Condominium","101  FAIRFAX CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 03830000","R-50","R - Condominium","103  FAIRFAX CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 03840000","R-50","R - Condominium","105  FAIRFAX CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 03850000","R-50","R - Condominium","107  FAIRFAX CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 03860000","R-50","R - Condominium","109  FAIRFAX CRT","Charlestown",1996,"1991 or Later","1991-2000"
"3502 03870000","R-50","R - Condominium","111  FAIRFAX CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03880000","R-50","R - Condominium","113  FAIRFAX CRT","Charlestown",1999,"1991 or Later","1991-2000"
"3502 03890000","R-50","R - Condominium","115  FAIRFAX CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03900000","R-50","R - Condominium","117  FAIRFAX CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03910000","R-50","R - Condominium","119  FAIRFAX CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03920000","R-50","R - Condominium","101  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03930000","R-50","R - Condominium","103  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03940000","R-50","R - Condominium","105  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03950000","R-50","R - Condominium","107  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03960000","R-50","R - Condominium","109  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03970000","R-50","R - Condominium","111  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03980000","R-50","R - Condominium","113  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 03990000","R-50","R - Condominium","115  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 04000000","R-50","R - Condominium","117  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 04010000","R-50","R - Condominium","119  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 04020000","R-50","R - Condominium","121  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 04030000","R-50","R - Condominium","123  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 04040000","R-50","R - Condominium","125  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 04050000","R-50","R - Condominium","127  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 04060000","R-50","R - Condominium","129  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 04070000","R-50","R - Condominium","131  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 04080000","R-50","R - Condominium","102  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 04090000","R-50","R - Condominium","104  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 04100000","R-50","R - Condominium","106  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 04110000","R-50","R - Condominium","108  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
"3502 04120000","R-50","R - Condominium","110  LEWISVILLE CRT","Charlestown",1998,"1991 or Later","1991-2000"
